1,Status,Program,Co-op,Grade Percentage,Date Accepted,Type,Other,,
741,Rejected,Computing and Financial Management,Yes,92,14-May,105F,,,
742,Rejected,Software Engineering,Yes,98.3,13-May,101,,,
743,Accepted,Computer Science,Yes,99.2,05-Oct,101,,,
744,Rejected,Computer Science,Yes,95,21-May,105F,Idk what to say...rejected from my dream program,,
745,Rejected,Software Engineering,Yes,99,13-May,101,.,,
746,Rejected,Mathematics and Chartered Professional Accountancy,Yes,92,14-May,101,"Did garbage on Euclid, already accepted AFM",,
747,Rejected,Computer Science,Yes,94,14-May,101,,,
748,Rejected,Computer Science,Yes,96.8,14-May,105D,"”reach” application, i didnt have any coding experience, im surprised I got into ce",,
749,Accepted,Computer Engineering,Yes,97.5,26-Mar,105D,,,
750,Rejected,Computer Science,Yes,97.5,14-May,105D,,,
751,Rejected,Computer Science,Yes,95.2,14-May,101,"okay ec's, meh contest scores, not surprised I didn't get an offer.",,
752,Deferred,Computer Science,Yes,98,13-Mar,101,Geomatics,,
753,Rejected,Computer Science,Yes,IB 41,14-May,105F,"Applied from Singapore. I think with conversions my avg was a 96-98, considering my exams are from May 2019.",,
754,Rejected,Computer Science,Yes,98.8,14-May,105F,Congrats to those accepted guys!,,
755,Accepted,Computer Science,Yes,97,14-Apr,101,DM me for extra info,,
756,Accepted,Mathematics,Yes,98.8,12-May,105F,"I hope this""math"" word can reduced to that two words program....",,
757,Rejected,Computer Science,Yes,97.3,14-May,105D,pain peko,,
758,Accepted,Software Engineering,Yes,92,29-Mar,105D,Quebec Pre-U,,
759,Accepted,Systems Design Engineering,Yes,97.5,29-Mar,101,,,
760,Accepted,Computer Science,Yes,98,11-May,105D,.,,
761,Accepted,Computer Science,Yes,97,11-May,101,,,
762,Accepted,Computer Science,Yes,97.33,10-May,101,IB,,
763,Accepted,Mathematics,Yes,97.2,10-May,101,,,
764,Accepted,Mathematics,Yes,94.8,10-Mar,101,,,
765,Accepted,Software Engineering,Yes,95,20-Apr,105F,My average sucks due to fucking up english,,
766,Accepted,Computer Science,Yes,98,10-May,101,,,
766,Accepted,Computer Science and Business Administration,Yes,98,10-May,101,,,
767,Accepted,Mathematics,Yes,93.67,15-May,105F,,,
768,Accepted,Mathematics,Yes,96.5,10-May,101,,,
769,Accepted,Environmental Science,Yes,idk,16-Apr,105D,,,
770,Accepted,Computing and Financial Management,Yes,95,11-Mar,101,,,
771,Accepted,Computer Science,Yes,92,11-May,105D,"CEGEP diff, got SE too, average aif",,
772,Deferred,Electrical engineering,Yes,92,15-May,101,,,
773,Rejected,Software Engineering,Yes,97,13-May,101,,,
774,Rejected,Computer Science,Yes,96.7,14-May,101,"SHAD, 3 CEMC Honour Roll (92 Euclid), 2 Student Council, 3 Clubs Leader, 1 Hackathon organizer, 8k Math Faculty Scholar, School adj: 11.6.",,
775,Accepted,Systems Design Engineering,Yes,95,17-May,105D,Internal Transfer from Science,,
776,Accepted,Computer Engineering,Yes,84.3,30-Mar,105D,"qc cegep, rejected from cs",,
777,Accepted,Management Engineering,Yes,94.5,10-May,105D,IB predicted 37,,
778,Accepted,Physical Sciences,Yes,88,06-May,101,,,
779,Accepted,Civil Engineering,Yes,92,07-May,101,,,
780,Accepted,Computer Science,Yes,98.2,19-May,101,,,
781,Accepted,Computer Science and Business Administration,Yes,96.5,19-May,101,"csmc hr, euclid hr, ccc distinction, 2 national awards, other stuff. reconsidered from rejected to now?",,
782,Accepted,Computer Science and Business Administration,Yes,98.3,19-May,101,,,
783,Accepted,Computer Science,Yes,98.3,19-May,101,Deferred to geomatics but reconsidered because of NBE3U.,,
784,Accepted,Computer Science,Yes,96.5,19-May,101,same as csbba,,
785,Accepted,Computer Science,Yes,97,10-May,101,Co-op,,
786,Accepted,Computer Science and Business Administration,Yes,97,10-May,101,,,
787,Accepted,Accounting and Financial Management,Yes,97,10-May,101,not going,,
788,Accepted,Mathematics and Business Administration,Yes,93.2,10-May,101,,,
789,Accepted,Accounting and Financial Management,Yes,94,17-May,101,,,
790,Accepted,Computer Science,Yes,98,10-May,101,co-op,,
791,Accepted,Computer Engineering,Yes,93,10-May,105D,,,
792,Accepted,Mathematics,Yes,94.83,11-May,101,,,
